case_PO_id,case_id,start_timestamp,avg_value_EUR,case_vendor,case_PR_NPR,case_product_type,case_product_specific,end_timestamp,throughput,rework_activities,payment_block,automation,avg_vendor_workload,num_items
4507000266,4507000266_00010,2018-02-01 08:53:00+00:00,134.0,vendorID_0103,PR,Packaging,Labels,2018-04-26 09:14:00+00:00,84 days 00:21:00,0.0,False,0.0,49.27272727272727,1
4507000268,4507000268_00010,2018-02-01 08:56:00+00:00,300.5,vendorID_0105,PR,Packaging,Labels,2018-09-05 12:10:00+00:00,216 days 03:14:00,0.0,False,0.0,13.40277777777778,2
4507000272,4507000272_00010,2018-02-01 09:06:00+00:00,769.0,vendorID_0137,NPR,Sales,Products for Resale,2018-09-05 12:12:00+00:00,216 days 03:06:00,0.0,False,25.0,3.647058823529412,2
4507000273,4507000273_00010,2018-02-01 09:25:00+00:00,598.5,vendorID_0138,NPR,Sales,Products for Resale,2018-08-03 11:21:00+00:00,183 days 01:56:00,0.0,True,0.0,9.121951219512194,2
4507000287,4507000287_00010,2018-02-01 10:17:00+00:00,581.5,vendorID_0148,NPR,Sales,Products for Resale,2018-08-02 12:43:00+00:00,182 days 02:26:00,0.0,True,0.0,3.7142857142857135,2
4507000318,4507000318_00010,2018-02-01 10:45:00+00:00,14148.0,vendorID_0155,PR,Trading & End Products,Trading products (old structure),2018-09-05 12:08:00+00:00,216 days 01:23:00,2.0,True,14.285714285714285,1.0,1
4507000341,4507000341_00030,2018-02-01 11:08:00+00:00,1819.5,vendorID_0167,PR,Packaging,Metal Containers & Lids < 30L,2018-09-05 12:09:00+00:00,216 days 01:01:00,0.0,True,0.0,6.32258064516129,2
4507000353,4507000353_00010,2018-02-01 11:16:00+00:00,32303.0,vendorID_0169,PR,Additives,Extenders,2018-05-24 11:33:00+00:00,112 days 00:17:00,0.0,True,0.0,1.0625,1
4507000365,4507000365_00010,2018-02-01 11:47:00+00:00,4140.0,vendorID_0175,PR,Packaging,Metal Containers & Lids < 30L,2018-05-24 11:32:00+00:00,111 days 23:45:00,0.0,True,0.0,6.105263157894737,1
4507000366,4507000366_00010,2018-02-01 11:47:00+00:00,7699.0,vendorID_0176,PR,Trading & End Products,Trading products (old structure),2018-04-26 09:13:00+00:00,83 days 21:26:00,0.0,False,25.0,2.1538461538461537,2
4507000390,4507000390_00020,2018-01-30 11:50:00+00:00,10116.0,vendorID_0187,PR,Pigments & Colorants,Carbon Black Pigments,2018-04-26 09:13:00+00:00,85 days 21:23:00,0.0,False,0.0,1.0,1
4507000487,4507000487_00010,2018-03-01 07:17:00+00:00,1848.0,vendorID_0241,NPR,Sales,Products for Resale,2018-08-02 12:44:00+00:00,154 days 05:27:00,0.0,False,0.0,1.2,1
4507000524,4507000524_00010,2018-03-01 07:22:00+00:00,272.4347826086956,vendorID_0110,NPR,Sales,Products for Resale,2018-12-04 13:07:00+00:00,278 days 05:45:00,0.0,True,0.0,29.451612903225808,23
4507000531,4507000531_00010,2018-03-01 07:33:00+00:00,170.72727272727272,vendorID_0246,PR,Trading & End Products,Trading products (old structure),2018-08-03 11:23:00+00:00,155 days 03:50:00,0.0,False,0.0,33.73076923076923,11
4507000543,4507000543_00010,2018-03-01 08:02:00+00:00,23013.0,vendorID_0257,PR,Additives,Fire Protection Agents,2018-06-21 10:42:00+00:00,112 days 02:40:00,1.0,False,0.0,1.0,1
4507000575,4507000575_00010,2018-03-01 09:13:00+00:00,580.0,vendorID_0272,NPR,Sales,Products for Resale,2018-08-02 12:43:00+00:00,154 days 03:30:00,0.0,False,0.0,1.1111111111111112,1
4507000613,4507000613_00010,2018-03-01 10:25:00+00:00,2401.0,vendorID_0293,NPR,Sales,Products for Resale,2018-12-04 13:08:00+00:00,278 days 02:43:00,0.0,False,40.0,1.0,1
4507000678,4507000678_00010,2018-03-01 13:02:00+00:00,109493.0,vendorID_0327,PR,Titanium Dioxides,Chloride,2018-07-06 11:11:00+00:00,126 days 22:09:00,0.0,True,20.0,1.3333333333333333,1
4507000683,4507000683_00060,2018-01-22 08:35:00+00:00,3710.0,vendorID_0183,PR,Additives,Rheology & Thixotropic Agents,2018-04-26 09:15:00+00:00,94 days 00:40:00,0.0,True,0.0,2.973684210526316,1
4507000845,4507000845_00010,2018-04-01 06:08:00+00:00,2572.0,vendorID_0167,PR,Packaging,Pallets,2018-08-03 11:21:00+00:00,124 days 05:13:00,0.0,False,0.0,5.381818181818182,1
4507000846,4507000846_00010,2018-04-01 06:26:00+00:00,238.63636363636363,vendorID_0108,NPR,Sales,Products for Resale,2018-11-01 15:01:00+00:00,214 days 08:35:00,0.0,True,0.0,36.333333333333336,11
4507000852,4507000852_00010,2018-04-01 06:37:00+00:00,366.57142857142856,vendorID_0376,NPR,Sales,Products for Resale,2018-08-03 11:22:00+00:00,124 days 04:45:00,0.0,True,0.0,5.393939393939394,7
4507000905,4507000905_00130,2018-01-19 09:39:00+00:00,1723.6666666666667,vendorID_0167,PR,Packaging,Metal Containers & Lids < 30L,2018-09-05 12:09:00+00:00,229 days 02:30:00,0.0,False,0.0,6.127450980392157,3
4507000916,4507000916_00070,2018-01-15 07:10:00+00:00,499.0,vendorID_0404,NPR,Sales,Products for Resale,2018-03-29 13:10:00+00:00,73 days 06:00:00,0.0,True,20.0,9.407407407407408,1
4507000959,4507000959_00010,2018-04-01 09:29:00+00:00,3455.0,vendorID_0419,OTHER,Others,Packaging,2018-08-03 11:21:00+00:00,124 days 01:52:00,0.0,False,0.0,5.151515151515151,1
4507000962,4507000962_00010,2018-04-01 09:37:00+00:00,38.0,vendorID_0421,OTHER,Others,Packaging,2018-08-03 11:20:00+00:00,124 days 01:43:00,0.0,True,0.0,2.391304347826087,1
4507001015,4507001015_00010,2018-04-01 12:25:00+00:00,324.0,vendorID_0136,PR,Packaging,Labels,2018-09-05 12:09:00+00:00,156 days 23:44:00,0.0,False,0.0,45.34920634920635,2
4507001028,4507001028_00010,2018-04-01 12:40:00+00:00,10228.0,vendorID_0167,PR,Packaging,Metal Containers & Lids < 30L,2018-09-08 12:28:00+00:00,159 days 23:48:00,0.0,True,0.0,6.540983606557377,1
4507001045,4507001045_00010,2018-04-01 13:07:00+00:00,3520.0,vendorID_0445,PR,Solvents,Glycol & Ether Solvents,2018-09-08 12:27:00+00:00,159 days 23:20:00,0.0,False,0.0,3.3448275862068964,1
4507001098,4507001098_00050,2018-04-01 15:54:00+00:00,1406.6666666666667,vendorID_0162,PR,Packaging,Plastic Containers & Lids < 30L,2018-09-05 12:09:00+00:00,156 days 20:15:00,1.0,False,0.0,6.918918918918919,3
4507001121,4507001121_00010,2018-05-01 05:16:00+00:00,333.44444444444446,vendorID_0114,NPR,Sales,Products for Resale,2018-09-05 12:09:00+00:00,127 days 06:53:00,0.0,True,20.0,13.89795918367347,9
4507001242,4507001242_00290,2018-01-23 15:31:00+00:00,310.5,vendorID_0264,PR,Packaging,Labels,2018-06-29 09:23:00+00:00,156 days 17:52:00,0.0,True,0.0,11.271428571428572,2
4507001454,4507001454_00030,2018-01-22 10:29:00+00:00,3742.0,vendorID_0481,PR,Packaging,Metal Containers & Lids < 30L,2018-08-03 11:21:00+00:00,193 days 00:52:00,0.0,False,20.0,5.641025641025641,1
4507001456,4507001456_00040,2018-01-19 08:17:00+00:00,31.0,vendorID_0575,PR,Trading & End Products,Trading products (old structure),2018-09-05 12:12:00+00:00,229 days 03:55:00,0.0,False,50.0,1.0833333333333333,1
4507001718,4507001718_00180,2018-01-18 07:45:00+00:00,304.0,vendorID_0182,PR,Packaging,Labels,2018-04-26 09:14:00+00:00,98 days 01:29:00,0.0,False,0.0,31.27659574468085,1
4507002093,4507002093_00050,2018-01-29 14:35:00+00:00,11799.0,vendorID_0124,PR,Additives,Rheology & Thixotropic Agents,2018-09-05 12:09:00+00:00,218 days 21:34:00,0.0,False,0.0,6.023809523809524,1
4507002183,4507002183_00060,2018-01-19 12:34:00+00:00,22979.0,vendorID_0147,PR,Additives,Extenders,2018-03-29 13:09:00+00:00,69 days 00:35:00,0.0,False,0.0,6.8,1
4507002187,4507002187_00020,2018-01-25 13:28:00+00:00,638.0,vendorID_0181,NPR,CAPEX & SOCS,Technical Services,2018-07-06 11:12:00+00:00,161 days 21:44:00,0.0,False,0.0,5.230769230769231,1
4507002291,4507002291_00020,2018-01-29 14:43:00+00:00,2778.0,vendorID_0220,OTHER,Others,Raw Material,2018-03-29 13:07:00+00:00,58 days 22:24:00,0.0,False,0.0,1.2857142857142858,1
4507002387,4507002387_00100,2018-01-16 13:07:00+00:00,2704.3333333333335,vendorID_0698,PR,Trading & End Products,Trading products (old structure),2018-05-04 13:50:00+00:00,108 days 00:43:00,0.0,False,50.0,4.24,3
4507002395,4507002395_00080,2018-01-16 09:38:00+00:00,1205.0,vendorID_0270,NPR,Sales,Products for Resale,2018-08-03 11:21:00+00:00,199 days 01:43:00,1.0,False,40.0,5.2,1
4507002728,4507002728_00030,2018-01-17 08:46:00+00:00,2083.0,vendorID_0287,PR,Packaging,Metal Containers & Lids < 30L,2018-05-04 13:50:00+00:00,107 days 05:04:00,0.0,False,0.0,7.071428571428571,1
4507002743,4507002743_00010,2018-01-13 12:58:00+00:00,10545.0,vendorID_0792,PR,Trading & End Products,Trading products (old structure),2018-09-05 12:10:00+00:00,234 days 23:12:00,2.0,False,16.666666666666664,1.0,1
